Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,Top_10_Moves,Is_Capture
d7d5,d7,d5,p,,0,"['d7d5', 'c7c5', 'b8c6', 'g8f6', 'e7e5', 'c7c6', 'd7d6', 'e7e6', 'b7b6', 'a7a5']",1
d8d5,d8,d5,q,P,0,"['g8f6', 'c8d7', 'd8d5', 'b8d7', 'c8f5', 'h7h6', 'g7g6', 'a7a6', 'e7e6', 'a7a5']",1
d5d6,d5,d6,q,,0,"['d5a5', 'd5d6', 'd5d8', 'd5d7', 'd5g5', 'd5e6', 'd5c5', 'd5d4', 'd5e5', 'd5f5']",1
g8f6,g8,f6,n,,0,"['e7e6', 'c8g4', 'g8f6', 'c7c6', 'a7a6', 'c8f5', 'b8c6', 'g7g6', 'e7e5', 'c8d7']",1
a7a6,a7,a6,p,,0,"['c8f5', 'g7g6', 'a7a6', 'b8c6', 'c8e6', 'e7e5', 'c7c6', 'c7c5', 'h7h6', 'e7e6']",1
e7e5,e7,e5,p,,0,"['b7b6', 'c7c5', 'd6b6', 'e7e5', 'c8g4', 'c8f5', 'b8c6', 'b8d7', 'd6d8', 'c8e6']",1
f8e7,f8,e7,b,,0,"['b8c6', 'f8e7', 'c8e6', 'c8g4', 'b7b5', 'e5e4', 'c7c5', 'h7h6', 'f6g4', 'a8a7']",1
b8c6,b8,c6,n,,0,"['b8c6', 'b7b5', 'c8g4', 'e8g8', 'b8d7', 'c8e6', 'f6d7', 'c7c6', 'f6g4', 'e5e4']",1
e8g8,e8,g8,k,,0,"['e8g8', 'h8f8', 'c8e6', 'c8g4', 'c6d8', 'f6d5', 'e8f8', 'c8f5', 'c8d7', 'd6d4']",1
h7h6,h7,h6,p,,0,"['c6d8', 'c8g4', 'h7h6', 'b7b5', 'c8f5', 'd6d8', 'b7b6', 'c6a5', 'a8b8', 'e7d8']",1
f6e4,f6,e4,n,N,0,"['d6d8', 'f6e4', 'd6d7', 'd6d4', 'd6b4', 'c8g4', 'a6a5', 'c6d4', 'c8d7', 'f6g4']",1
d6g6,d6,g6,q,,0,"['d6g6', 'd6d7', 'd6d8', 'd6d4', 'd6b4', 'g8h7', 'f8d8', 'f8e8', 'g8h8', 'b7b6']",1
g8h8,g8,h8,k,,0,"['g8h7', 'g8h8', 'c8g4', 'c8e6', 'c6d4', 'e7h4', 'a6a5', 'c8f5', 'h6h5', 'a8b8']",1
g6h7,g6,h7,q,,0,"['g6h7', 'g6f5', 'c8g4', 'e7g5', 'g6e6', 'g6d6', 'g6f6', 'g6e4', 'c6a5', 'c8f5']",1
f7f5,f7,f5,p,,0,"['f7f5', 'c6a5', 'e7h4', 'a6a5', 'c8d7', 'a8b8', 'f7f6', 'c6d8', 'c8f5', 'a8a7']",1
f5e4,f5,e4,p,N,0,"['f5e4', 'c8d7', 'f5f4', 'c6a5', 'a6a5', 'a8b8', 'a8a7', 'e7d8', 'c6a7', 'c6d8']",1
c8f5,c8,f5,b,,0,"['c8f5', 'e4e3', 'f8f5', 'e7f6', 'e7d8', 'a8b8', 'c6d8', 'e7g5', 'e7h4', 'c8d7']",1
g7h6,g7,h6,p,R,0,"['g7h6', 'h7h6', 'a8e8', 'a8d8', 'b7b5', 'e7c5', 'c6a5', 'f8f6', 'b7b6', 'a6a5']",1
f5g6,f5,g6,b,,0,"['e4d3', 'f8f6', 'b7b5', 'f5d7', 'e4e3', 'a8d8', 'f8g8', 'c6a5', 'h7g6', 'f5g6']",1
c7c6,c7,c6,p,,0,"['c7c5', 'd7d5', 'g8f6', 'g7g6', 'd7d6', 'e7e6', 'b8c6', 'f7f5', 'b7b6', 'c7c6']",1
d7d5,d7,d5,p,,0,"['d7d5', 'd8b6', 'h7h6', 'd8a5', 'a7a6', 'f7f6', 'g8f6', 'd7d6', 'b8a6', 'g7g6']",1
g8f6,g8,f6,n,,0,"['d5c4', 'h7h6', 'd8b6', 'g8f6', 'f7f6', 'c8g4', 'a7a6', 'd8a5', 'g7g6', 'h7h5']",1
e7e6,e7,e6,p,,0,"['f6e4', 'd5c4', 'b8d7', 'd8a5', 'a7a6', 'e7e6', 'h7h6', 'd8b6', 'c8e6', 'c8g4']",1
f8e7,f8,e7,b,,0,"['h7h6', 'd5c4', 'd8b6', 'f8e7', 'b8d7', 'b7b5', 'c6c5', 'd8a5', 'b8a6', 'f8b4']",1
d5e4,d5,e4,p,P,0,"['d5e4', 'f6e4', 'd5c4', 'b8d7', 'e8g8', 'c6c5', 'h7h6', 'f6d7', 'b7b6', 'b8a6']",1
e8g8,e8,g8,k,,0,"['e6e5', 'c6c5', 'f6e4', 'e8g8', 'f6d5', 'h7h6', 'f6d7', 'f6g8', 'b7b5', 'b7b6']",1
f6d7,f6,d7,n,,0,"['h7h6', 'e6e5', 'f6d5', 'f6g4', 'c6c5', 'b7b6', 'f6d7', 'c8d7', 'b8d7', 'a7a5']",1
d8e7,d8,e7,q,B,0,"['d8e7', 'd8b6', 'd7e5', 'e6e5', 'c6c5', 'b7b5', 'f7f5', 'a7a5', 'g8h8', 'd8a5']",1
d7f6,d7,f6,n,,0,"['e6e5', 'c6c5', 'h7h6', 'b7b5', 'f8d8', 'e7b4', 'f7f6', 'f7f5', 'g7g6', 'e7d8']",1
b8d7,b8,d7,n,,0,"['f6d7', 'f6g4', 'e6e5', 'c6c5', 'b8d7', 'f6h5', 'f6e8', 'g8h8', 'e7d8', 'b7b6']",1
f6e8,f6,e8,n,,0,"['f6g4', 'f6e8', 'f6h5', 'b7b6', 'c6c5', 'd7e5', 'f8d8', 'e7d8', 'b7b5', 'g8h8']",1
b7b6,b7,b6,p,,0,"['c6c5', 'f7f5', 'g8h8', 'b7b5', 'a7a5', 'h7h6', 'a7a6', 'b7b6', 'f7f6', 'e7d8']",1
h7h6,h7,h6,p,,0,"['g7g6', 'f7f5', 'h7h6', 'f7f6', 'c8b7', 'c8a6', 'b6b5', 'c6c5', 'd7e5', 'a7a5']",1
f7f6,f7,f6,p,,0,"['f7f6', 'c6c5', 'f7f5', 'a7a5', 'b6b5', 'a7a6', 'a8b8', 'c8a6', 'c8b7', 'e8c7']",1
e8f6,e8,f6,n,P,0,"['e8f6', 'f8f6', 'd7f6', 'g7f6', 'e7f6', 'e7f7', 'f8f7', 'd7c5', 'c8b7', 'e7d8']",1
d7f6,d7,f6,n,N,0,"['d7f6', 'f8f6', 'e7f6', 'g7f6', 'g8h8']",1
h6g5,h6,g5,p,N,0,"['h6g5', 'e7d7', 'c8d7', 'c8b7', 'a7a5', 'e7d8', 'c8a6', 'a8b8', 'b6b5', 'e7d6']",1
e7f6,e7,f6,q,R,0,"['f8f6', 'e7f6', 'f8f7', 'c8d7', 'e6e5', 'g5g4', 'a7a5', 'a7a6', 'b6b5', 'f8e8']",1
g8f7,g8,f7,k,,0,['g8f7'],1
f7e7,f7,e7,k,,0,"['f6f1', 'c8d7', 'c8a6', 'c8b7', 'c6c5', 'f7e8', 'f6f4', 'f6f5', 'g5g4', 'a7a5']",1
f8f6,f8,f6,r,R,0,"['e7f6', 'f8f6', 'f8f7', 'e7d6', 'c8d7', 'e7e8', 'c6c5', 'e7d8', 'f8g8', 'g5g4']",1
f6f7,f6,f7,r,,0,"['f6f7', 'e7e8', 'e7d8', 'e7d6']",1
e7d6,e7,d6,k,,0,"['e7d6', 'e7d7', 'f7f6', 'e7f8', 'e7e8']",1
b6c5,b6,c5,p,P,0,"['d6d7', 'd6c7', 'b6c5']",1
d6c7,d6,c7,k,,0,"['d6d7', 'd6c7']",1
c7b6,c7,b6,k,,0,"['c7b7', 'c7b6', 'c7d7', 'c7d8']",1
c8b7,c8,b7,b,,0,"['c8d7', 'b6b7', 'a7a6', 'a7a5', 'f7d7', 'f7c7', 'f7f5', 'f7g7', 'f7f1', 'a8b8']",1
c7c6,c7,c6,p,,0,"['c7c5', 'd7d5', 'g8f6', 'g7g6', 'd7d6', 'e7e6', 'b8c6', 'f7f5', 'b7b6', 'c7c6']",1
d7d5,d7,d5,p,,0,"['g8f6', 'd7d6', 'e7e6', 'd7d5', 'c6c5', 'a7a6', 'd8c7', 'a7a5', 'b8a6', 'd8a5']",1
g8f6,g8,f6,n,,0,"['e7e6', 'g8f6', 'a7a6', 'h7h6', 'c8d7', 'd8c7', 'd8d6', 'g7g6', 'b8d7', 'a7a5']",1
c8g4,c8,g4,b,,0,"['c8f5', 'e7e6', 'g7g6', 'c8e6', 'a7a6', 'b8d7', 'b7b6', 'f6e4', 'c8g4', 'd8a5']",1
e7e6,e7,e6,p,,0,"['g4f3', 'b8d7', 'd5c4', 'g7g6', 'g4h5', 'e7e6', 'd8b6', 'g4f5', 'g4e6', 'a7a6']",1
f8d6,f8,d6,b,,0,"['d8b6', 'g4f3', 'b8d7', 'f8d6', 'f6h5', 'd5c4', 'f8b4', 'b8a6', 'a7a6', 'f8e7']",1
d8d6,d8,d6,q,B,0,"['d8d6', 'g4f3', 'f6e4', 'd8a5', 'b8d7', 'b7b5', 'g4h5', 'h7h5', 'd5c4', 'b8a6']",1
b8d7,b8,d7,n,,0,"['g4f3', 'g4f5', 'd5c4', 'e8g8', 'd6b4', 'd6c7', 'b8d7', 'd6e7', 'a7a6', 'h7h6']",1
g4h5,g4,h5,b,,0,"['g4f3', 'g4h5', 'g4f5', 'g4h3', 'd5c4', 'a7a6', 'g7g6', 'd7b6', 'h7h5', 'd6e7']",1
h5g6,h5,g6,b,,0,"['h5g6', 'b7b5', 'h5g4', 'f6g4', 'd6b4', 'd7b6', 'd5c4', 'f6e4', 'g7g6', 'c6c5']",1
e8c8,e8,c8,k,,0,"['g6e4', 'f6e4', 'd5c4', 'a8d8', 'd6e7', 'd6b4', 'e8c8', 'e8g8', 'f6g8', 'd6c7']",1
h7g6,h7,g6,p,N,0,"['h7g6', 'f7g6', 'd6b4', 'h8e8', 'h8g8', 'd7f8', 'd7b6', 'f6g4', 'd7e5', 'f6e4']",1
g6g5,g6,g5,p,,0,"['d5c4', 'd6e7', 'g6g5', 'a7a6', 'f6e8', 'd6b4', 'f6h7', 'c8b8', 'd8f8', 'd6c7']",1
e6e5,e6,e5,p,,0,"['d5c4', 'a7a6', 'd6e7', 'd6b4', 'd8e8', 'a7a5', 'c8b8', 'd6f8', 'f6e8', 'd6c7']",1
f6d5,f6,d5,n,P,0,"['c6d5', 'f6d5', 'e5d4', 'c6c5', 'd7b8', 'd7b6', 'h8e8', 'd6b4', 'h8h6', 'a7a5']",1
c6d5,c6,d5,p,N,0,"['c6d5', 'h8e8', 'e5d4', 'd7f8', 'd8e8', 'd6e6', 'h8h4', 'a7a5', 'd7b8', 'f7f6']",1
c8b8,c8,b8,k,,0,"['c8b8', 'd7c5', 'd6c6', 'd6c5', 'd6c7']",1
e5e4,e5,e4,p,,0,"['e5e4', 'a7a6', 'f7f6', 'd6e6', 'f7f5', 'd7b6', 'h8h6', 'a7a5', 'g7g6', 'h8e8']",1
f7f5,f7,f5,p,,0,"['d7b6', 'd8c8', 'f7f6', 'f7f5', 'g7g6', 'h8f8', 'h8e8', 'd6e6', 'a7a6', 'h8h6']",1
d7f6,d7,f6,n,,0,"['f5g4', 'g7g6', 'd6g3', 'e4f3', 'd7b6', 'a7a6', 'h8h3', 'd8f8', 'd8e8', 'h8f8']",1
f5g4,f5,g4,p,P,0,"['e4f3', 'f5f4', 'd8d7', 'g7g6', 'd6g3', 'a7a6', 'h8e8', 'd8f8', 'd8e8', 'a7a5']",1
f6g4,f6,g4,n,P,0,"['d6g3', 'f6g4', 'd8d7', 'b8a8', 'd8c8', 'a7a6', 'h8h6', 'g7g6', 'h8e8', 'd6e7']",1
d6g3,d6,g3,q,,0,"['d6h2', 'd8d7', 'd6g3', 'h8h6', 'b7b6', 'h8f8', 'd8f8', 'a7a5', 'd6h6', 'b8a8']",1
d8d5,d8,d5,r,Q,0,"['d8d5', 'g3h2', 'h8h1', 'g3g2', 'd8e8', 'b8a8', 'h8f8', 'g7g6', 'g3h4', 'a7a5']",1
c7c6,c7,c6,p,,0,"['d7d5', 'c7c5', 'b8c6', 'g8f6', 'e7e5', 'c7c6', 'd7d6', 'e7e6', 'b7b6', 'a7a5']",1
d7d5,d7,d5,p,,0,"['d7d5', 'g7g6', 'g8f6', 'a7a6', 'd7d6', 'e7e6', 'd8c7', 'h7h6', 'a7a5', 'd8a5']",1
c6d5,c6,d5,p,P,0,"['c6d5', 'd8a5', 'c8g4', 'c8f5', 'g8f6', 'g7g6', 'h7h6', 'd8c7', 'a7a6', 'd8d6']",1
g8f6,g8,f6,n,,0,"['c8d7', 'a7a6', 'c8g4', 'b8c6', 'g7g6', 'g8f6', 'e7e6', 'c8f5', 'c8e6', 'd8a5']",1
b8c6,b8,c6,n,,0,"['c8g4', 'c8d7', 'b8c6', 'd8b6', 'c8e6', 'h7h6', 'g7g6', 'd8a5', 'a7a5', 'a7a6']",1
c8g4,c8,g4,b,,0,"['c8g4', 'a7a6', 'd8c7', 'g7g6', 'e7e6', 'a7a5', 'h7h6', 'd8b6', 'f6g8', 'f6e4']",1
e7e6,e7,e6,p,,0,"['d8c8', 'd8d7', 'f6h5', 'e7e6', 'd8b6', 'g7g6', 'a7a6', 'h7h6', 'g4f3', 'a8c8']",1
f8d6,f8,d6,b,,0,"['f8d6', 'f8e7', 'g4h5', 'a8c8', 'f6h5', 'd8b6', 'h7h6', 'a7a6', 'a7a5', 'g7g6']",1
d6e7,d6,e7,b,,0,"['d8b6', 'h7h6', 'd8c7', 'a7a5', 'a7a6', 'd8c8', 'g4h5', 'd8b8', 'e8g8', 'd6e7']",1
e8g8,e8,g8,k,,0,"['e8g8', 'd8c7', 'e7d6', 'a8c8', 'a7a6', 'h7h6', 'd8b6', 'a7a5', 'f6h5', 'g4f5']",1
