Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
d7d5,d7,d5,p,,False,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"['d7d5', 'c7c5', 'b8c6', 'g8f6', 'e7e5', 'c7c6', 'd7d6', 'e7e6', 'b7b6', 'a7a5']"
d8d5,d8,d5,q,P,False,rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,"['g8f6', 'c8d7', 'd8d5', 'b8d7', 'c8f5', 'h7h6', 'g7g6', 'a7a6', 'e7e6', 'a7a5']"
d5d6,d5,d6,q,,False,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,"['d5a5', 'd5d6', 'd5d8', 'd5d7', 'd5g5', 'd5e6', 'd5c5', 'd5d4', 'd5e5', 'd5f5']"
g8f6,g8,f6,n,,False,rnb1kbnr/ppp1pppp/3q4/8/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 4,"['e7e6', 'c8g4', 'g8f6', 'c7c6', 'a7a6', 'c8f5', 'b8c6', 'g7g6', 'e7e5', 'c8d7']"
a7a6,a7,a6,p,,False,rnb1kb1r/ppp1pppp/3q1n2/8/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 5 5,"['c8f5', 'g7g6', 'a7a6', 'b8c6', 'c8e6', 'e7e5', 'c7c6', 'c7c5', 'h7h6', 'e7e6']"
e7e5,e7,e5,p,,False,rnb1kb1r/1pp1pppp/p2q1n2/8/8/2N2N2/PPPPBPPP/R1BQ1RK1 b kq - 1 6,"['b7b6', 'c7c5', 'd6b6', 'e7e5', 'c8g4', 'c8f5', 'b8c6', 'b8d7', 'd6d8', 'c8e6']"
f8e7,f8,e7,b,,False,rnb1kb1r/1pp2ppp/p2q1n2/4p3/2B5/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 1 7,"['b8c6', 'f8e7', 'c8e6', 'c8g4', 'b7b5', 'e5e4', 'c7c5', 'h7h6', 'f6g4', 'a8a7']"
b8c6,b8,c6,n,,False,rnb1k2r/1pp1bppp/p2q1n2/4p3/2B5/2N2N2/PPPP1PPP/R1BQR1K1 b kq - 3 8,"['b8c6', 'b7b5', 'c8g4', 'e8g8', 'b8d7', 'c8e6', 'f6d7', 'c7c6', 'f6g4', 'e5e4']"
e8g8,e8,g8,k,,False,r1b1k2r/1pp1bppp/p1nq1n2/4p1N1/2B5/2N5/PPPP1PPP/R1BQR1K1 b kq - 5 9,"['e8g8', 'h8f8', 'c8e6', 'c8g4', 'c6d8', 'f6d5', 'e8f8', 'c8f5', 'c8d7', 'd6d4']"
h7h6,h7,h6,p,,False,r1b2rk1/1pp1bppp/p1nq1n2/4p1N1/2B5/2NP4/PPP2PPP/R1BQR1K1 b - - 0 10,"['c6d8', 'c8g4', 'h7h6', 'b7b5', 'c8f5', 'd6d8', 'b7b6', 'c6a5', 'a8b8', 'e7d8']"
f6e4,f6,e4,n,N,False,r1b2rk1/1pp1bpp1/p1nq1n1p/4p3/2B1N3/2NP4/PPP2PPP/R1BQR1K1 b - - 1 11,"['d6d8', 'f6e4', 'd6d7', 'd6d4', 'd6b4', 'c8g4', 'a6a5', 'c6d4', 'c8d7', 'f6g4']"
