Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
e2e4,e2,e4,P,,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"['d2d4', 'c2c4', 'f2f4', 'e2e3', 'g2g3', 'g1f3', 'e2e4', 'b2b3', 'd2d3', 'a2a3']"
b1c3,b1,c3,N,,False,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"['e4d5', 'b1c3', 'e4e5', 'd2d3', 'd1f3', 'd1e2', 'f2f3', 'g1f3', 'c2c3', 'f1d3']"
c3e4,c3,e4,N,p,False,rnbqkbnr/ppp1pppp/8/8/4p3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,"['d2d3', 'c3e4', 'g1e2', 'd1e2', 'f2f3', 'h2h3', 'a2a3', 'd2d4', 'g2g4', 'g2g3']"
e4g3,e4,g3,N,,False,r1bqkbnr/ppp1pppp/2n5/8/4N3/8/PPPP1PPP/R1BQKBNR w KQkq - 1 4,"['f1b5', 'g1f3', 'd1f3', 'e4g3', 'c2c3', 'e4c3', 'f1c4', 'd2d4', 'e4c5', 'g2g4']"
g1f3,g1,f3,N,,False,r1bqkb1r/ppp1pppp/2n2n2/8/8/6N1/PPPP1PPP/R1BQKBNR w KQkq - 3 5,"['f1d3', 'g1f3', 'f1c4', 'c2c3', 'd2d3', 'h2h3', 'f1b5', 'd1e2', 'a2a3', 'f1e2']"
f1e2,f1,e2,B,,False,r2qkb1r/ppp1pppp/2n2n2/8/6b1/5NN1/PPPP1PPP/R1BQKB1R w KQkq - 5 6,"['f1b5', 'f1c4', 'f1e2', 'c2c3', 'b2b3', 'h2h3', 'a2a3', 'd2d3', 'a2a4', 'b2b4']"
h2h3,h2,h3,P,,False,r2qkb1r/ppp2ppp/2n1pn2/8/6b1/5NN1/PPPPBPPP/R1BQK2R w KQkq - 0 7,"['c2c3', 'e1g1', 'd2d4', 'a2a4', 'd2d3', 'a2a3', 'g3f1', 'h2h3', 'e2b5', 'e2f1']"
e2f3,e2,f3,B,b,False,r2qkb1r/ppp2ppp/2n1pn2/8/8/5bNP/PPPPBPP1/R1BQK2R w KQkq - 0 8,"['e2f3', 'g2f3', 'g3f5', 'e1g1', 'a1b1', 'c2c3', 'g3h5', 'c2c4', 'e2b5', 'b2b4']"
e1g1,e1,g1,K,,False,r2qk2r/ppp2ppp/2n1pn2/2b5/8/5BNP/PPPP1PP1/R1BQK2R w KQkq - 1 9,"['f3c6', 'e1g1', 'a2a3', 'd2d3', 'd1e2', 'g3e2', 'c2c3', 'a2a4', 'h3h4', 'g3f1']"
c2c3,c2,c3,P,,False,r2q1rk1/ppp2ppp/2n1pn2/2b5/8/5BNP/PPPP1PP1/R1BQ1RK1 w - - 3 10,"['f3c6', 'g3e2', 'd2d3', 'f1e1', 'g1h1', 'g3e4', 'c2c3', 'a1b1', 'b2b3', 'a2a4']"
f3e2,f3,e2,B,,False,r2q1rk1/ppp2ppp/4pn2/2b1n3/8/2P2BNP/PP1P1PP1/R1BQ1RK1 w - - 1 11,"['f3b7', 'f3e2', 'd2d4', 'b2b4', 'a2a4', 'b2b3', 'a2a3', 'd1e2', 'f3e4', 'd2d3']"
d2d4,d2,d4,P,,False,r2q1rk1/ppp2ppp/4pnn1/2b5/8/2P3NP/PP1PBPP1/R1BQ1RK1 w - - 3 12,"['d1b3', 'a2a4', 'd2d3', 'g3h5', 'd1a4', 'd2d4', 'b2b3', 'a2a3', 'b2b4', 'g3h1']"
c1g5,c1,g5,B,,False,r2q1rk1/ppp2ppp/1b2pnn1/8/3P4/2P3NP/PP2BPP1/R1BQ1RK1 w - - 1 13,"['c1g5', 'b2b4', 'g3h5', 'e2f3', 'd1b3', 'c1e3', 'd1c2', 'a2a4', 'a1b1', 'd1e1']"
e2d3,e2,d3,B,,False,r2q1rk1/pp3ppp/1bp1pnn1/6B1/3P4/2P3NP/PP2BPP1/R2Q1RK1 w - - 0 14,"['g3h5', 'g3e4', 'f1e1', 'd1c2', 'e2d3', 'a2a4', 'a2a3', 'g5c1', 'd1d3', 'g1h2']"
g3e4,g3,e4,N,,False,r2q1rk1/ppb2ppp/2p1pnn1/6B1/3P4/2PB2NP/PP3PP1/R2Q1RK1 w - - 2 15,"['g3h5', 'g3e4', 'd3g6', 'd1c2', 'd1b3', 'a2a4', 'f1e1', 'h3h4', 'g5d2', 'g5c1']"
f2f4,f2,f4,P,,False,r2qr1k1/ppb2ppp/2p1pnn1/6B1/3PN3/2PB3P/PP3PP1/R2Q1RK1 w - - 4 16,"['d1f3', 'f2f4', 'h3h4', 'f1e1', 'g2g3', 'a2a4', 'd3c2', 'd1e2', 'd3b1', 'a2a3']"
d1f3,d1,f3,Q,,False,r2qr1k1/pp3ppp/2pbpnn1/6B1/3PNP2/2PB3P/PP4P1/R2Q1RK1 w - - 1 17,"['a2a3', 'h3h4', 'f4f5', 'd1f3', 'g2g3', 'g1h1', 'd3c2', 'a2a4', 'd3b1', 'b2b4']"
g2g4,g2,g4,P,,False,r2qr1k1/pp2bppp/2p1pnn1/6B1/3PNP2/2PB1Q1P/PP4P1/R4RK1 w - - 3 18,"['e4g3', 'g5f6', 'e4f2', 'e4f6', 'f4f5', 'h3h4', 'e4c5', 'a1e1', 'g2g3', 'e4d2']"
g5e7,g5,e7,B,b,False,r2qr1k1/pp2bppp/2p1p1n1/6B1/3PnPP1/2PB1Q1P/PP6/R4RK1 w - - 0 19,"['g5e7', 'd3e4', 'f3e4', 'h3h4', 'g5h6', 'd3c2', 'a1e1', 'a1d1', 'a2a3', 'g1h1']"
d3e4,d3,e4,B,n,False,r3r1k1/pp2qppp/2p1p1n1/8/3PnPP1/2PB1Q1P/PP6/R4RK1 w - - 0 20,"['d3e4', 'f3e4', 'f4f5', 'h3h4', 'a1e1', 'f3g2', 'g1h1', 'g1h2', 'a1d1', 'g4g5']"
f4f5,f4,f5,P,,False,r3r1k1/pp3ppp/2p1p1n1/8/3PBPPq/2P2Q1P/PP6/R4RK1 w - - 1 21,"['a1e1', 'e4d3', 'f1f2', 'e4c2', 'a2a4', 'f1e1', 'a2a3', 'a1d1', 'a1b1', 'b2b3']"
e4f5,e4,f5,B,p,False,r3r1k1/pp3ppp/2p3n1/5p2/3PB1Pq/2P2Q1P/PP6/R4RK1 w - - 0 22,"['e4f5', 'f3f5', 'g4f5', 'e4c2', 'e4d3', 'e4b1', 'a2a4', 'a2a3', 'e4c6', 'a1e1']"
f5g6,f5,g6,B,n,False,r3r1k1/pp3ppp/2p3n1/5Bq1/3P2P1/2P2Q1P/PP6/R4RK1 w - - 1 23,"['f5d3', 'f5c2', 'f5g6', 'a1e1', 'f5b1', 'f3f2', 'f5e4', 'f5d7', 'c3c4', 'f3g2']"
f1f2,f1,f2,R,,False,r3r1k1/pp3ppp/2p3q1/8/3P2P1/2P2Q1P/PP6/R4RK1 w - - 0 24,"['f1f2', 'a1e1', 'g1h2', 'f3f5', 'a2a3', 'a1b1', 'a2a4', 'a1c1', 'a1d1', 'g1h1']"
a1f1,a1,f1,R,,False,r5k1/pp2rppp/2p3q1/8/3P2P1/2P2Q1P/PP3R2/R5K1 w - - 2 25,"['f3f5', 'a1f1', 'a1c1', 'a1d1', 'd4d5', 'a2a4', 'f2e2', 'g1h2', 'f2f1', 'f2h2']"
g1h2,g1,h2,K,,False,4r1k1/pp2rppp/2p3q1/8/3P2P1/2P2Q1P/PP3R2/5RK1 w - - 4 26,"['f3f5', 'a2a3', 'g1g2', 'd4d5', 'a2a4', 'g1h2', 'f3d1', 'f3g2', 'f3g3', 'b2b3']"
h2g2,h2,g2,K,,False,4r1k1/pp2rppp/2pq4/8/3P2P1/2P2Q1P/PP3R1K/5R2 w - - 6 27,"['f3g3', 'f3f4', 'h2h1', 'h2g1', 'h2g2']"
f3f5,f3,f5,Q,,False,4r1k1/pp2rppp/2p3q1/8/3P2P1/2P2Q1P/PP3RK1/5R2 w - - 8 28,"['f3f5', 'a2a4', 'd4d5', 'g2g1', 'a2a3', 'g2h2', 'b2b3', 'b2b4', 'f2d2', 'c3c4']"
f5g6,f5,g6,Q,q,False,4r1k1/pp3ppp/2p3q1/5Q2/3P2P1/2P4P/PP2rRK1/5R2 w - - 10 29,"['f5g6', 'f2e2', 'f5f3', 'a2a4', 'a2a3', 'f1d1', 'h3h4', 'g2g1', 'b2b4', 'b2b3']"
f1f2,f1,f2,R,r,False,4r1k1/pp3ppp/2p3Q1/8/3P2P1/2P4P/PP3rK1/5R2 w - - 0 30,"['g2f2', 'f1f2', 'g2g3', 'g2h1', 'g2g1']"
g2g3,g2,g3,K,,False,4r1k1/pp3pp1/2p3p1/8/3P2P1/2P4P/PP3RK1/8 w - - 0 31,"['a2a4', 'h3h4', 'g2f3', 'g2g3', 'g4g5', 'f2d2', 'g2f1', 'a2a3', 'b2b4', 'f2f3']"
g3g2,g3,g2,K,,False,6k1/pp3pp1/2p3p1/8/3P2P1/2P1r1KP/PP3R2/8 w - - 2 32,"['g3g2', 'f2f3', 'g3h2', 'g3f4', 'g3h4']"
f2d2,f2,d2,R,,False,6k1/pp4p1/2p2pp1/8/3P2P1/2P1r2P/PP3RK1/8 w - - 0 33,"['f2f3', 'f2d2', 'f2f1', 'h3h4', 'a2a4', 'a2a3', 'f2f4', 'g4g5', 'f2c2', 'c3c4']"
h3h4,h3,h4,P,,False,8/pp3kp1/2p2pp1/8/3P2P1/2P1r2P/PP1R2K1/8 w - - 2 34,"['h3h4', 'd4d5', 'a2a3', 'g4g5', 'c3c4', 'd2f2', 'd2c2', 'g2h2', 'a2a4', 'g2h1']"
g2f2,g2,f2,K,,False,8/pp4p1/2p1kpp1/8/3P2PP/2P1r3/PP1R2K1/8 w - - 1 35,"['g2f2', 'h4h5', 'c3c4', 'd2f2', 'g4g5', 'a2a4', 'd2c2', 'g2h2', 'd2d1', 'b2b4']"
f2f3,f2,f3,K,,False,8/pp4p1/2p1kpp1/8/3Pr1PP/2P5/PP1R1K2/8 w - - 3 36,"['f2f3', 'd2e2', 'b2b3', 'd2d3', 'd2d1', 'f2g3', 'a2a4', 'g4g5', 'a2a3', 'h4h5']"
